cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.0005022419400000944,-0.0016522252441809634
-0.004191121378621316,-0.0022393280600000176,-0.004752888378581083
-0.016062062937062936,-0.0003236880599999804,-0.0028372483785810464
-0.015359640359640332,-0.00789268805999998,-0.010406248378581047
-0.01047390109890109,-0.03425312806000002,-0.03676668837858108
-0.012565559440559409,-0.039876368060000056,-0.04238992837858112
-0.006985202297702239,-0.04050604806000013,-0.043019608378581195
-0.02094780219780218,-0.04115712806000002,-0.04367068837858108
-0.022344842657342573,-0.05157072806000002,-0.054084288378581084
-0.018856143856143863,-0.0699048080600001,-0.07241836837858116
-0.004191121378621319,-0.06582764806000013,-0.0683412083785812
-0.011168518981018881,-0.07199972806000002,-0.07451328837858108
-0.020253184315684257,-0.09187292806000003,-0.09438648837858107
-0.012565559440559412,-0.08488036806000006,-0.0873939283785811
-0.012565559440559412,-0.0858824080600001,-0.08839596837858114
-0.008374438061937958,-0.08456408805999999,-0.08707764837858104
-0.0062827797202796385,-0.08237104805999995,-0.084884608378581
-0.0013970404595403958,-0.0836370080600001,-0.08615056837858115
-0.0069852022977022424,-0.08706868805999998,-0.08958224837858103
-0.015359640359640336,-0.09242248805999999,-0.09493604837858104
-0.01675668081918073,-0.09131128805999998,-0.09382484837858103
-0.023039460539460502,-0.10060392806000001,-0.10311748837858106
-0.04189560439560436,-0.12058548805999998,-0.12309904837858103
-0.043995067432567356,-0.13598432806000002,-0.13849788837858107
-0.037704483016982905,-0.15456052806000004,-0.15707408837858106
-0.04539210789210789,-0.20712372805999996,-0.20963728837858098
-0.041200986513486436,-0.19358560805999994,-0.19609916837858096
-0.038406905594405516,-0.20439496806,-0.206908528378581
-0.039101523476523445,-0.19394088805999993,-0.19645444837858095
-0.04120098651348644,-0.18965856806,-0.19217212837858103
-0.04748376623376622,-0.20659004805999998,-0.209103608378581
-0.043292644855144766,-0.21225676806,-0.214770328378581
-0.0446896853146853,-0.20085392805999996,-0.20336748837858099
-0.03142170329670328,-0.19393000805999994,-0.19644356837858096
-0.02862762237762236,-0.18586056805999998,-0.188374128378581
-0.02723058191808183,-0.18672252805999995,-0.18923608837858097
-0.01606206293706295,-0.17959604805999996,-0.18210960837858098
-0.01606206293706295,-0.1746442880599999,-0.17715784837858092
-0.039101523476523445,-0.19534316806,-0.197856728378581
-0.030727085414585353,-0.18695512805999995,-0.18946868837858097
-0.02164242007991998,-0.18357660806000003,-0.18609016837858106
-0.020947802197802193,-0.18248000805999995,-0.18499356837858097
